,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
6138,prostate adenocarcinoma,CHEMBL1421,3,Prostatic Neoplasms,D011471
6141,prostate adenocarcinoma,CHEMBL1042,3,Prostatic Neoplasms,D011471
6148,psoriasis,CHEMBL1140,2,Psoriasis,D011565
6154,schizophrenia,CHEMBL771,3,Schizophrenia,D012559
6155,skin disease,CHEMBL1434,1,Skin Diseases,D012871
6158,squamous cell carcinoma,CHEMBL1431,2,"Carcinoma, Squamous Cell",D002294
6162,subarachnoid hemorrhage,CHEMBL556,2,Subarachnoid Hemorrhage,D013345
6163,systemic scleroderma,CHEMBL34259,1,"Scleroderma, Systemic",D012595
6164,ulcerative colitis,CHEMBL1697771,2,"Colitis, Ulcerative",D003093
6170,HIV infection,CHEMBL964,1,HIV Infections,D015658
6172,HIV infection,CHEMBL504,1,HIV Infections,D015658
6173,AIDS,CHEMBL991,3,Acquired Immunodeficiency Syndrome,D000163
6174,idiopathic pulmonary fibrosis,CHEMBL600,3,Idiopathic Pulmonary Fibrosis,D054990
6180,cytomegalovirus infection,CHEMBL182,3,Cytomegalovirus Infections,D003586
6181,malaria,CHEMBL1200633,3,Malaria,D008288
6182,obesity,CHEMBL389621,1,Obesity,D009765
6184,obesity,CHEMBL606,3,Obesity,D009765
6186,post-traumatic stress disorder,CHEMBL771,3,"Stress Disorders, Post-Traumatic",D013313
6191,type II diabetes mellitus,CHEMBL426559,3,"Diabetes Mellitus, Type 2",D003924
6194,pulmonary arterial hypertension,CHEMBL294199,2,"Hypertension, Pulmonary",D006976
6197,age-related macular degeneration,CHEMBL1908360,2,Macular Degeneration,D008268
6199,multiple myeloma,CHEMBL473417,1,Multiple Myeloma,D009101
6200,multiple myeloma,CHEMBL38,2,Multiple Myeloma,D009101
6201,multiple myeloma,CHEMBL343448,2,Multiple Myeloma,D009101
6202,multiple myeloma,CHEMBL820,3,Multiple Myeloma,D009101
6203,cervical adenocarcinoma,CHEMBL1444,2,Uterine Cervical Neoplasms,D002583
6204,liver disease,CHEMBL221722,1,Liver Diseases,D008107
6205,liver disease,CHEMBL3301622,1,Liver Diseases,D008107
6206,liver disease,CHEMBL2105737,1,Liver Diseases,D008107
6207,liver disease,CHEMBL2095212,1,Liver Diseases,D008107
6209,liver disease,CHEMBL550348,1,Liver Diseases,D008107
6211,cirrhosis of liver,CHEMBL940,3,Liver Cirrhosis,D008103
6212,coronary artery disease,CHEMBL932,2,Coronary Disease,D003327
6213,prostate carcinoma,CHEMBL521686,3,Prostatic Neoplasms,D011471
6216,Parkinson's disease,CHEMBL1617,3,Parkinson Disease,D010300
6219,Parkinson's disease,CHEMBL462605,3,Parkinson Disease,D010300
6220,Parkinson's disease,CHEMBL2105745,1,Parkinson Disease,D010300
6224,pancreatic carcinoma,CHEMBL848,2,Pancreatic Neoplasms,D010190
6229,medulloblastoma,CHEMBL2105737,2,Medulloblastoma,D008527
6230,hepatitis C virus infection,CHEMBL2105735,3,Hepatitis C,D006526
6231,hepatitis C virus infection,CHEMBL1617,2,Hepatitis C,D006526
6233,non-small cell lung carcinoma,CHEMBL196,2,"Carcinoma, Non-Small-Cell Lung",D002289
6236,non-small cell lung carcinoma,CHEMBL1697733,3,"Carcinoma, Non-Small-Cell Lung",D002289
6239,kidney disease,CHEMBL1200622,3,Kidney Diseases,D007674
6241,non-alcoholic fatty liver disease,CHEMBL1431,2,Non-alcoholic Fatty Liver Disease,D065626
6242,non-alcoholic fatty liver disease,CHEMBL1200711,3,Non-alcoholic Fatty Liver Disease,D065626
6245,pneumonia,CHEMBL389621,4,Pneumonia,D011014
6251,autism spectrum disorder,CHEMBL460026,2,"Child Development Disorders, Pervasive",D002659
6252,autism,CHEMBL1621,3,Autistic Disorder,D001321
6253,nicotine dependence,CHEMBL940,2,Tobacco Use Disorder,D014029
6255,heart disease,CHEMBL25,2,Heart Diseases,D006331
6261,migraine disorder,CHEMBL433,3,Migraine Disorders,D008881
6263,prostatitis,CHEMBL24778,2,Prostatitis,D011472
6264,thyroid neoplasm,CHEMBL109,2,Thyroid Neoplasms,D013964
6268,pain,CHEMBL807,3,Pain,D010146
6269,pain,CHEMBL771,3,Pain,D010146
6270,pain,CHEMBL480,1,Pain,D010146
6273,chronic kidney disease,CHEMBL413,3,"Renal Insufficiency, Chronic",D051436
6274,chronic kidney disease,CHEMBL387675,1,"Renal Insufficiency, Chronic",D051436
6276,chronic kidney disease,CHEMBL1200711,2,"Renal Insufficiency, Chronic",D051436
6280,drug dependence,CHEMBL19019,3,Substance-Related Disorders,D019966
6282,acne,CHEMBL1434,4,Acne Vulgaris,D000152
6284,premature birth,CHEMBL632,3,Premature Birth,D047928
6285,premature birth,CHEMBL526,1,Premature Birth,D047928
6286,obstructive sleep apnea,CHEMBL1370,3,"Sleep Apnea, Obstructive",D020181
6287,obstructive sleep apnea,CHEMBL526,2,"Sleep Apnea, Obstructive",D020181
6288,obstructive sleep apnea,CHEMBL1373,3,"Sleep Apnea, Obstructive",D020181
6292,bone fracture,CHEMBL112,2,"Fractures, Bone",D050723
6293,bone fracture,CHEMBL1206690,3,"Fractures, Bone",D050723
6295,hip fracture,CHEMBL1098,2,Hip Fractures,D006620
6296,neuropathy,CHEMBL1697733,2,Peripheral Nervous System Diseases,D010523
6297,alopecia areata,CHEMBL1064,1,Alopecia Areata,D000506
6299,IGA glomerulonephritis,CHEMBL2103830,2,"Glomerulonephritis, IGA",D005922
6301,Abdominal Aortic Aneurysm,CHEMBL877,3,"Aortic Aneurysm, Abdominal",D017544
6304,chronic hepatitis C virus infection,CHEMBL1259059,4,"Hepatitis C, Chronic",D019698
6307,chronic hepatitis B virus infection,CHEMBL885,3,"Hepatitis B, Chronic",D019694
6308,obsessive-compulsive disorder,CHEMBL744,2,Obsessive-Compulsive Disorder,D009771
6311,obsessive-compulsive disorder,CHEMBL41,3,Obsessive-Compulsive Disorder,D009771
6313,anemia (phenotype),CHEMBL2110563,4,Anemia,D000740
6317,insomnia,CHEMBL25,0,Sleep Initiation and Maintenance Disorders,D007319
6318,methamphetamine dependence,CHEMBL1581,1,Amphetamine-Related Disorders,D019969
6320,congenital heart disease,CHEMBL957,2,"Hernias, Diaphragmatic, Congenital",D065630
6321,congenital heart disease,CHEMBL189,2,"Hernias, Diaphragmatic, Congenital",D065630
6322,cholangiocarcinoma,CHEMBL1421,2,Cholangiocarcinoma,D018281
6326,Chagas cardiomyopathy,CHEMBL1200711,0,Chagas Cardiomyopathy,D002598
6328,opioid dependence,CHEMBL1256,2,Opioid-Related Disorders,D009293
6329,acute coronary syndrome,CHEMBL334966,2,Acute Coronary Syndrome,D054058
6330,fibromyalgia,CHEMBL490,1,Fibromyalgia,D005356
6333,brain disease,CHEMBL76,2,Brain Diseases,D001927
6335,non-Hodgkins lymphoma,CHEMBL223228,1,"Lymphoma, Non-Hodgkin",D008228
6340,allergic conjunctivitis,CHEMBL389621,2,"Conjunctivitis, Allergic",D003233
6341,autoimmune thrombocytopenic purpura,CHEMBL8,1,"Purpura, Thrombocytopenic, Idiopathic",D016553
6345,rosacea,CHEMBL1617,2,Rosacea,D012393
6346,frozen shoulder,CHEMBL79,4,Bursitis,D002062
6347,ocular hypertension,CHEMBL499,4,Ocular Hypertension,D009798
6348,ocular hypertension,CHEMBL1051,4,Ocular Hypertension,D009798
6353,Acute kidney injury,CHEMBL1200507,0,Acute Kidney Injury,D058186
6357,Bronchiectasis,CHEMBL1747,2,Bronchiectasis,D001987
6359,Cognitive impairment,CHEMBL1431,3,Cognitive Dysfunction,D060825
6360,hemorrhage,CHEMBL45,2,Hemorrhage,D006470
6361,hemorrhage,CHEMBL198362,2,Hemorrhage,D006470
6362,hemorrhage,CHEMBL1622,3,Hemorrhage,D006470
6363,Sickle cell anemia,CHEMBL198362,2,"Anemia, Sickle Cell",D000755
6368,Cystic fibrosis,CHEMBL1543,3,Cystic Fibrosis,D003550
6370,Cystic fibrosis,CHEMBL126,2,Cystic Fibrosis,D003550
6371,Netherton syndrome,CHEMBL1200686,1,Netherton Syndrome,D056770
6381,hepatocellular carcinoma,CHEMBL189963,2,"Carcinoma, Hepatocellular",D006528
6385,hepatocellular carcinoma,CHEMBL182,2,"Carcinoma, Hepatocellular",D006528
6387,metabolic syndrome,CHEMBL573,2,Metabolic Syndrome,D024821
6388,metabolic syndrome,CHEMBL435,0,Metabolic Syndrome,D024821
6389,metastatic prostate cancer,CHEMBL816,2,Prostatic Neoplasms,D011471
6390,myelodysplastic syndrome,CHEMBL1006,2,Myelodysplastic Syndromes,D009190
6396,acute myeloid leukemia,CHEMBL34259,3,"Leukemia, Myeloid, Acute",D015470
6399,Alzheimer's disease,CHEMBL64391,1,Alzheimer Disease,D000544
6401,asthma,CHEMBL460026,2,Asthma,D001249
6404,atopic eczema,CHEMBL296306,2,"Dermatitis, Atopic",D003876
6405,atopic eczema,CHEMBL985,3,"Dermatitis, Atopic",D003876
6409,atrial fibrillation,CHEMBL196,3,Atrial Fibrillation,D001281
6410,pancreatitis,CHEMBL865,2,Pancreatitis,D010195
6411,Barrett's esophagus,CHEMBL45,3,Barrett Esophagus,D001471
6415,bipolar disorder,CHEMBL6966,3,Bipolar Disorder,D001714
6416,cancer,CHEMBL778,3,Neoplasms,D009369
6418,cancer,CHEMBL1201301,2,Neoplasms,D009369
6423,cancer,CHEMBL64391,3,Neoplasms,D009369
6429,cardiovascular disease,CHEMBL111,3,Cardiovascular Diseases,D002318
6431,cardiovascular disease,CHEMBL460026,3,Cardiovascular Diseases,D002318
6435,chronic obstructive pulmonary disease,CHEMBL3,3,"Pulmonary Disease, Chronic Obstructive",D029424
6437,chronic obstructive pulmonary disease,CHEMBL8,3,"Pulmonary Disease, Chronic Obstructive",D029424
6440,colorectal adenocarcinoma,CHEMBL428647,2,Colorectal Neoplasms,D015179
6441,colorectal adenocarcinoma,CHEMBL532,2,Colorectal Neoplasms,D015179
6442,colorectal adenocarcinoma,CHEMBL468,3,Colorectal Neoplasms,D015179
6446,Crohn's disease,CHEMBL8,2,Crohn Disease,D003424
6449,diabetes mellitus,CHEMBL25,3,Diabetes Mellitus,D003920
6452,diabetes mellitus,CHEMBL1222250,0,Diabetes Mellitus,D003920
6453,diabetic nephropathy,CHEMBL846,3,Diabetic Nephropathies,D003928
6455,dilated cardiomyopathy,CHEMBL1581,3,"Cardiomyopathy, Dilated",D002311
6457,glioblastoma multiforme,CHEMBL1485,1,Glioblastoma,D005909
6458,glioblastoma multiforme,CHEMBL1289494,2,Glioblastoma,D005909
6459,glioblastoma multiforme,CHEMBL3545432,0,Glioblastoma,D005909
6463,hypertension,CHEMBL1581,3,Hypertension,D006973
6464,hypertrophic cardiomyopathy,CHEMBL25,3,"Cardiomyopathy, Hypertrophic",D002312
6466,infection,CHEMBL1951095,3,Infections,D007239
6467,infection,CHEMBL374478,3,Infections,D007239
6468,infection,CHEMBL1503,4,Infections,D007239
6470,infertility,CHEMBL386630,3,Infertility,D007246
6472,irritable bowel syndrome,CHEMBL190044,2,Irritable Bowel Syndrome,D043183
6473,irritable bowel syndrome,CHEMBL930,2,Irritable Bowel Syndrome,D043183
6477,Kaposi's sarcoma,CHEMBL1614701,1,"Sarcoma, Kaposi",D012514
6478,Kaposi's sarcoma,CHEMBL43452,2,"Sarcoma, Kaposi",D012514
6479,leukemia,CHEMBL288441,2,Leukemia,D007938
6481,leukemia,CHEMBL487253,2,Leukemia,D007938
6482,liposarcoma,CHEMBL189963,2,Liposarcoma,D008080
6483,lymphoma,CHEMBL487253,3,Lymphoma,D008223
6487,myocardial infarction,CHEMBL1201301,2,Myocardial Infarction,D009203
6491,neoplasm,CHEMBL54976,1,Neoplasms,D009369
6494,neoplasm,CHEMBL852,4,Neoplasms,D009369
6498,neoplasm,CHEMBL468,3,Neoplasms,D009369
6501,osteosarcoma,CHEMBL1024,3,Osteosarcoma,D012516
6503,periodontitis,CHEMBL1431,2,Periodontitis,D010518
6508,prostate adenocarcinoma,CHEMBL1823872,1,Prostatic Neoplasms,D011471
6509,prostate adenocarcinoma,CHEMBL196,2,Prostatic Neoplasms,D011471
6517,sarcoma,CHEMBL810,2,Sarcoma,D012509
6519,schizophrenia,CHEMBL773,3,Schizophrenia,D012559
6522,schizophrenia,CHEMBL1434,3,Schizophrenia,D012559
6525,skin disease,CHEMBL262777,3,Skin Diseases,D012871
6529,stroke,CHEMBL398435,3,Stroke,D020521
6530,stroke,CHEMBL1286,1,Stroke,D020521
6532,subarachnoid hemorrhage,CHEMBL778,3,Subarachnoid Hemorrhage,D013345
6536,systemic scleroderma,CHEMBL2103873,3,"Scleroderma, Systemic",D012595
6539,melanoma,CHEMBL1289926,2,Melanoma,D008545
6541,melanoma,CHEMBL503,2,Melanoma,D008545
6544,HIV infection,CHEMBL116,3,HIV Infections,D015658
6545,HIV infection,CHEMBL1410,3,HIV Infections,D015658
6546,HIV infection,CHEMBL76,2,HIV Infections,D015658
6547,HIV infection,CHEMBL3301594,4,HIV Infections,D015658
6548,HIV infection,CHEMBL468,2,HIV Infections,D015658
6549,HIV infection,CHEMBL104,3,HIV Infections,D015658
6551,idiopathic pulmonary fibrosis,CHEMBL1680,1,Idiopathic Pulmonary Fibrosis,D054990
6554,cataract,CHEMBL131,3,Cataract,D002386
6556,malaria,CHEMBL416956,4,Malaria,D008288
6557,obesity,CHEMBL750,2,Obesity,D009765
6558,obesity,CHEMBL545,2,Obesity,D009765
6561,obesity,CHEMBL778,3,Obesity,D009765
6562,morbid obesity,CHEMBL2111107,2,"Obesity, Morbid",D009767
6564,post-traumatic stress disorder,CHEMBL220492,2,"Stress Disorders, Post-Traumatic",D013313
6565,post-traumatic stress disorder,CHEMBL2105760,3,"Stress Disorders, Post-Traumatic",D013313
6567,type I diabetes mellitus,CHEMBL446143,1,"Diabetes Mellitus, Type 1",D003922
6568,type I diabetes mellitus,CHEMBL1042,2,"Diabetes Mellitus, Type 1",D003922
6570,type II diabetes mellitus,CHEMBL573,3,"Diabetes Mellitus, Type 2",D003924
6571,type II diabetes mellitus,CHEMBL1138,3,"Diabetes Mellitus, Type 2",D003924
6575,pulmonary arterial hypertension,CHEMBL79,1,"Hypertension, Pulmonary",D006976
6578,age-related macular degeneration,CHEMBL1308,1,Macular Degeneration,D008268
6586,liver disease,CHEMBL2336071,1,Liver Diseases,D008107
6587,liver disease,CHEMBL1738797,1,Liver Diseases,D008107
6588,liver disease,CHEMBL1951095,1,Liver Diseases,D008107
6590,lymphoid neoplasm,CHEMBL1201129,1,Hematologic Neoplasms,D019337
6593,polycythemia vera,CHEMBL25,3,Polycythemia Vera,D011087
6595,osteoarthritis,CHEMBL1077896,2,Osteoarthritis,D010003
6596,Parkinson's disease,CHEMBL796,2,Parkinson Disease,D010300
6599,Parkinson's disease,CHEMBL70927,2,Parkinson Disease,D010300
6602,cocaine dependence,CHEMBL636,1,Cocaine-Related Disorders,D019970
6603,cocaine dependence,CHEMBL549,2,Cocaine-Related Disorders,D019970
6609,pancreatic carcinoma,CHEMBL1614701,2,Pancreatic Neoplasms,D010190
6618,medulloblastoma,CHEMBL44657,3,Medulloblastoma,D008527
6619,medulloblastoma,CHEMBL810,2,Medulloblastoma,D008527
6623,non-small cell lung carcinoma,CHEMBL64391,2,"Carcinoma, Non-Small-Cell Lung",D002289
6624,non-small cell lung carcinoma,CHEMBL3301610,3,"Carcinoma, Non-Small-Cell Lung",D002289
6626,non-small cell lung carcinoma,CHEMBL1450,1,"Carcinoma, Non-Small-Cell Lung",D002289
6631,peripheral neuropathy,CHEMBL52440,2,Peripheral Nervous System Diseases,D010523
6633,urinary tract infection,CHEMBL186,3,Urinary Tract Infections,D014552
6636,pneumonia,CHEMBL1741,4,Pneumonia,D011014
6638,heart failure,CHEMBL13,3,Heart Failure,D006333
6639,heart failure,CHEMBL1148,4,Heart Failure,D006333
6641,heart failure,CHEMBL1064,0,Heart Failure,D006333
6642,heart failure,CHEMBL1200711,3,Heart Failure,D006333
6643,autism spectrum disorder,CHEMBL1112,3,"Child Development Disorders, Pervasive",D002659
6644,autism,CHEMBL45,2,Autistic Disorder,D001321
6646,nicotine dependence,CHEMBL1218,2,Tobacco Use Disorder,D014029
6648,heart disease,CHEMBL1168,3,Heart Diseases,D006331
6650,allergy,CHEMBL2111107,1,Hypersensitivity,D006967
6654,alcohol dependence,CHEMBL389621,3,Alcoholism,D000437
6655,alcohol dependence,CHEMBL46,3,Alcoholism,D000437
6656,prostatitis,CHEMBL514800,2,Prostatitis,D011472
6658,chronic progressive multiple sclerosis,CHEMBL650,3,"Multiple Sclerosis, Chronic Progressive",D020528
6659,pain,CHEMBL1201754,2,Pain,D010146
6660,pain,CHEMBL6966,2,Pain,D010146
6662,pain,CHEMBL45,2,Pain,D010146
6667,osteoporosis,CHEMBL328190,3,Osteoporosis,D010024
6669,chronic kidney disease,CHEMBL1908360,3,"Renal Insufficiency, Chronic",D051436
6670,chronic kidney disease,CHEMBL866,2,"Renal Insufficiency, Chronic",D051436
6672,chronic kidney disease,CHEMBL1622,2,"Renal Insufficiency, Chronic",D051436
6673,multiple sclerosis,CHEMBL807,3,Multiple Sclerosis,D009103
6676,multiple sclerosis,CHEMBL1201265,1,Multiple Sclerosis,D009103
6677,drug dependence,CHEMBL940,2,Substance-Related Disorders,D019966
6678,acne,CHEMBL1238,4,Acne Vulgaris,D000152
6680,ankylosing spondylitis,CHEMBL468,2,"Spondylitis, Ankylosing",D013167
6684,relapsing-remitting multiple sclerosis,CHEMBL2336071,2,"Multiple Sclerosis, Relapsing-Remitting",D020529
6688,gastroesophageal reflux disease,CHEMBL41,2,Gastroesophageal Reflux,D005764
6690,Vitiligo,CHEMBL441738,2,Vitiligo,D014820
6691,chronic hepatitis C virus infection,CHEMBL2105735,3,"Hepatitis C, Chronic",D019698
6693,erectile dysfunction,CHEMBL730,2,Erectile Dysfunction,D007172
6696,panic disorder,CHEMBL771,3,Panic Disorder,D016584
6698,sclerosing cholangitis,CHEMBL1617,1,"Cholangitis, Sclerosing",D015209
6704,acute graft vs. host disease,CHEMBL1580,3,Graft vs Host Disease,D006086
6707,alcohol withdrawal,CHEMBL580,2,Substance Withdrawal Syndrome,D013375
6711,hypotension,CHEMBL1077896,3,Hypotension,D007022
6712,hypotension,CHEMBL596,2,Hypotension,D007022
6714,post-operative sign or symptom,CHEMBL2111107,3,Postoperative Complications,D011183
6715,opioid dependence,CHEMBL940,2,Opioid-Related Disorders,D009293
6720,septic shock,CHEMBL926,2,"Shock, Septic",D012772
6721,allergic conjunctivitis,CHEMBL1152,4,"Conjunctivitis, Allergic",D003233
6724,cerebral palsy,CHEMBL284348,1,Cerebral Palsy,D002547
6725,hemangioma,CHEMBL635,2,Hemangioma,D006391
6726,rosacea,CHEMBL1200633,4,Rosacea,D012393
6727,rosacea,CHEMBL514800,2,Rosacea,D012393
6728,Osteopenia,CHEMBL923,3,"Bone Diseases, Metabolic",D001851
6729,Thrombocytopenia,CHEMBL218394,1,Thrombocytopenia,D013921
6730,Thrombocytopenia,CHEMBL1201129,3,Thrombocytopenia,D013921
6734,Hypercholesterolemia,CHEMBL573,4,Hypercholesterolemia,D006937
6735,Cognitive impairment,CHEMBL3,2,Cognitive Dysfunction,D060825
6736,Cognitive impairment,CHEMBL636,3,Cognitive Dysfunction,D060825
6738,Cognitive impairment,CHEMBL807,2,Cognitive Dysfunction,D060825
6741,Sickle cell anemia,CHEMBL600,3,"Anemia, Sickle Cell",D000755
6742,Dravet syndrome,CHEMBL6966,2,"Epilepsies, Myoclonic",D004831
6744,Gastrointestinal stromal tumor,CHEMBL810,2,Gastrointestinal Stromal Tumors,D046152
6745,Cystic fibrosis,CHEMBL930,2,Cystic Fibrosis,D003550
6746,Cystic fibrosis,CHEMBL600,4,Cystic Fibrosis,D003550
6747,Cystic fibrosis,CHEMBL773,2,Cystic Fibrosis,D003550
6748,Cystic fibrosis,CHEMBL256997,3,Cystic Fibrosis,D003550
6749,Alopecia,CHEMBL1200963,2,Alopecia,D000505
6752,Duchenne muscular dystrophy,CHEMBL1095097,3,"Muscular Dystrophy, Duchenne",D020388
6754,chronic lymphocytic leukemia,CHEMBL1200660,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
6756,chronic lymphocytic leukemia,CHEMBL18442,1,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
6757,chronic lymphocytic leukemia,CHEMBL468,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
6759,HIV-1 infection,CHEMBL848,2,HIV Infections,D015658
6761,HIV-1 infection,CHEMBL103,2,HIV Infections,D015658
6765,hepatocellular carcinoma,CHEMBL1614701,2,"Carcinoma, Hepatocellular",D006528
6766,hepatocellular carcinoma,CHEMBL1201182,2,"Carcinoma, Hepatocellular",D006528
6771,metabolic syndrome,CHEMBL111,3,Metabolic Syndrome,D024821
6773,metastatic prostate cancer,CHEMBL923,3,Prostatic Neoplasms,D011471
6782,Alzheimer's disease,CHEMBL374478,3,Alzheimer Disease,D000544
6783,Alzheimer's disease,CHEMBL796,3,Alzheimer Disease,D000544
6789,aortic stenosis,CHEMBL573,0,Aortic Valve Stenosis,D001024
6790,asthma,CHEMBL746,3,Asthma,D001249
6793,asthma,CHEMBL6,1,Asthma,D001249
6794,astrocytoma,CHEMBL810,3,Astrocytoma,D001254
6796,atopic eczema,CHEMBL1200384,1,"Dermatitis, Atopic",D003876
6801,breast carcinoma,CHEMBL3301610,4,Breast Neoplasms,D001943
6807,carcinoma,CHEMBL105,3,Carcinoma,D002277
6821,glaucoma,CHEMBL112,0,Glaucoma,D005901
6825,glioblastoma multiforme,CHEMBL1282,1,Glioblastoma,D005909
6827,glioblastoma multiforme,CHEMBL2110732,2,Glioblastoma,D005909
6830,immune system disease,CHEMBL820,2,Immune System Diseases,D007154
6831,infection,CHEMBL1747,4,Infections,D007239
6832,injury,CHEMBL930,2,Wounds and Injuries,D014947
6837,Kaposi's sarcoma,CHEMBL848,1,"Sarcoma, Kaposi",D012514
6840,leukemia,CHEMBL1619,3,Leukemia,D007938
6841,leukemia,CHEMBL608533,3,Leukemia,D007938
6844,lymphoma,CHEMBL374478,1,Lymphoma,D008223
6845,myocardial infarction,CHEMBL1534,2,Myocardial Infarction,D009203
6847,narcolepsy with cataplexy,CHEMBL462605,3,Narcolepsy,D009290
6851,neoplasm,CHEMBL198362,3,Neoplasms,D009369
6853,neoplasm,CHEMBL43452,1,Neoplasms,D009369
6855,neoplasm,CHEMBL1200436,3,Neoplasms,D009369
6858,neoplasm,CHEMBL810,4,Neoplasms,D009369
6859,neoplasm,CHEMBL25,2,Neoplasms,D009369
6865,periodontitis,CHEMBL1200711,2,Periodontitis,D010518
6875,rheumatoid arthritis,CHEMBL460026,3,"Arthritis, Rheumatoid",D001172
6883,squamous cell carcinoma,CHEMBL1059,1,"Carcinoma, Squamous Cell",D002294
6884,stroke,CHEMBL771,2,Stroke,D020521
6885,systemic scleroderma,CHEMBL1256391,2,"Scleroderma, Systemic",D012595
6888,melanoma,CHEMBL1946170,2,Melanoma,D008545
6891,melanoma,CHEMBL1614701,2,Melanoma,D008545
6893,HIV infection,CHEMBL1431,1,HIV Infections,D015658
6897,cervical carcinoma,CHEMBL1282,2,Uterine Cervical Neoplasms,D002583
6899,obesity,CHEMBL1201087,1,Obesity,D009765
6902,post-traumatic stress disorder,CHEMBL41,3,"Stress Disorders, Post-Traumatic",D013313
6903,type I diabetes mellitus,CHEMBL6966,3,"Diabetes Mellitus, Type 1",D003922
6904,type II diabetes mellitus,CHEMBL181,2,"Diabetes Mellitus, Type 2",D003924
6905,type II diabetes mellitus,CHEMBL400599,2,"Diabetes Mellitus, Type 2",D003924
6908,pulmonary arterial hypertension,CHEMBL772,1,"Hypertension, Pulmonary",D006976
6912,multiple myeloma,CHEMBL960,2,Multiple Myeloma,D009101
6917,coronary artery disease,CHEMBL25,3,Coronary Disease,D003327
6918,primary myelofibrosis,CHEMBL924,2,Primary Myelofibrosis,D055728
6921,cocaine dependence,CHEMBL1101,3,Cocaine-Related Disorders,D019970
6922,cocaine dependence,CHEMBL807,2,Cocaine-Related Disorders,D019970
6923,insulin resistance,CHEMBL1200711,3,Insulin Resistance,D007333
6927,pancreatic carcinoma,CHEMBL196,2,Pancreatic Neoplasms,D010190
6928,systemic lupus erythematosus,CHEMBL650,3,"Lupus Erythematosus, Systemic",D008180
6929,systemic lupus erythematosus,CHEMBL600,2,"Lupus Erythematosus, Systemic",D008180
6933,non-small cell lung carcinoma,CHEMBL1222251,2,"Carcinoma, Non-Small-Cell Lung",D002289
6938,kidney disease,CHEMBL152,1,Kidney Diseases,D007674
6939,kidney disease,CHEMBL1485,0,Kidney Diseases,D007674
6940,kidney disease,CHEMBL501122,1,Kidney Diseases,D007674
6943,urinary tract infection,CHEMBL127,4,Urinary Tract Infections,D014552
6944,urinary tract infection,CHEMBL1951095,3,Urinary Tract Infections,D014552
6948,essential tremor,CHEMBL1214124,2,Essential Tremor,D020329
6951,autism,CHEMBL1201073,2,Autistic Disorder,D001321
6952,vitamin D deficiency,CHEMBL1536,3,Vitamin D Deficiency,D014808
6954,nicotine dependence,CHEMBL771,2,Tobacco Use Disorder,D014029
6955,diabetic retinopathy,CHEMBL1431,0,Diabetic Retinopathy,D003930
6956,hyperlipidemia,CHEMBL1201753,3,Hyperlipidemias,D006949
6957,heart disease,CHEMBL1622,3,Heart Diseases,D006331
6959,migraine disorder,CHEMBL3039520,3,Migraine Disorders,D008881
6960,migraine disorder,CHEMBL45,3,Migraine Disorders,D008881
6961,migraine disorder,CHEMBL1431,3,Migraine Disorders,D008881
6963,migraine disorder,CHEMBL1098,3,Migraine Disorders,D008881
6964,alcohol dependence,CHEMBL580,2,Alcoholism,D000437
6965,alcohol dependence,CHEMBL1434,1,Alcoholism,D000437
6967,brain neoplasm,CHEMBL1431,3,Brain Neoplasms,D001932
6969,thyroid neoplasm,CHEMBL848,2,Thyroid Neoplasms,D013964
6970,pain,CHEMBL1485,2,Pain,D010146
6975,osteoporosis,CHEMBL226267,2,Osteoporosis,D010024
6977,chronic kidney disease,CHEMBL190,2,"Renal Insufficiency, Chronic",D051436
6979,multiple sclerosis,CHEMBL1434,3,Multiple Sclerosis,D009103
6981,acne,CHEMBL1200711,3,Acne Vulgaris,D000152
6985,premature birth,CHEMBL106,2,Premature Birth,D047928
6989,alopecia areata,CHEMBL34259,3,Alopecia Areata,D000506
6991,basal cell carcinoma,CHEMBL2105737,2,"Carcinoma, Basal Cell",D002280
6992,IGA glomerulonephritis,CHEMBL131,3,"Glomerulonephritis, IGA",D005922
6994,Hypertriglyceridemia,CHEMBL2095209,4,Hypertriglyceridemia,D015228
6995,anorexia nervosa,CHEMBL715,2,Anorexia Nervosa,D000856
7001,sclerosing cholangitis,CHEMBL137,1,"Cholangitis, Sclerosing",D015209
7003,restless legs syndrome,CHEMBL589,3,Restless Legs Syndrome,D012148
7004,restless legs syndrome,CHEMBL887,2,Restless Legs Syndrome,D012148
7005,anemia (phenotype),CHEMBL1622,4,Anemia,D000740
7006,smoking cessation,CHEMBL457,2,Smoking Cessation,D016540
7007,alcohol drinking,CHEMBL807,2,Alcohol Drinking,D000428
7008,alcohol drinking,CHEMBL771,2,Alcohol Drinking,D000428
7009,acute lung injury,CHEMBL600,2,Acute Lung Injury,D055371
7010,insomnia,CHEMBL3545367,4,Sleep Initiation and Maintenance Disorders,D007319
7012,methamphetamine dependence,CHEMBL85,2,Amphetamine-Related Disorders,D019969
7013,methamphetamine dependence,CHEMBL964,1,Amphetamine-Related Disorders,D019969
7015,Tourette syndrome,CHEMBL600,2,Tourette Syndrome,D005879
7018,cholangiocarcinoma,CHEMBL1773,3,Cholangiocarcinoma,D018281
