,chembl_id,synonyms,max_phase,atc_codes,level_4_atc,level_3_atc,level_2_atc,levle_1_atc,drug_type,passes_ro5,chirality,prodrug,oral,parenteral,topical,black_box,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,indication_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,inchi_key,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,pubchem_cid,withdrawn_chembl
3369,CHEMBL1201293,ACAMPROSATE,4,N07BB03,N07BB - Drugs used in alcohol dependence,N07B - DRUGS USED IN ADDICTIVE DISORDERS,N07 - OTHER NERVOUS SYSTEM DRUGS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CC(=O)NCCCS(=O)(=O)O,Small molecule,MOL,True,,-0.60,0,-4.10,-2.75,-0.88,,181.21,3,5,2,2,11,ACID,181.21,181.0409,0,0,83.47,0.45,N,4,CHEMBL1201293,CC(=O)NCCCS(=O)(=O)O,AFCGFAGUEYAMAO-UHFFFAOYSA-N,AFCGFAGUEYAMAO-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3370,CHEMBL1946170,BAY 73-4506|BAY 73-4506 monohydrate|BAY-73-4506|BAY-734506|REGORAFENIB|Stivarga,4,L01XE21,L01XE - Protein kinase inhibitors,L01X - OTHER ANTINEOPLASTIC AGENTS,L01 - ANTINEOPLASTIC AGENTS,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1:Synthetic Small Molecule,False,Achiral Molecule,False,True,False,False,True,Prescription Only,None,None,None,None,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,Small molecule,MOL,True,,5.69,3,4.49,4.49,10.52,3.02,482.82,4,7,3,3,33,NEUTRAL,482.82,482.0769,1,1,92.35,0.41,N,5,CHEMBL1946170,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,FNHKPVJBJVTLMP-UHFFFAOYSA-N,Safe,INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR+INHIBITOR,True+True+True+True+True+True+True+True+True+True+True+True+True+True+True,True+True+True+True+True+True+True+True+True+True+True+True+True+True+True,True+True+True+True+True+True+True+True+True+True+True+True+True+True+True,CHEMBL1862+CHEMBL1906+CHEMBL1936+CHEMBL3650+CHEMBL3961+CHEMBL4142+CHEMBL4223+CHEMBL5122+CHEMBL5145+CHEMBL4128+CHEMBL2095189+CHEMBL2095227+CHEMBL2041+CHEMBL2068+CHEMBL2815,missing,0
3371,CHEMBL856,LISKANTIN|Lepsiral|Mysoline|NSC-41701|Neurosyn|PRIMIDONE|Primidone,4,N03AA03,N03AA - Barbiturates and derivatives,N03A - ANTIEPILEPTICS,N03 - ANTIEPILEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CCC1(c2ccccc2)C(=O)NCNC1=O,Small molecule,MOL,True,Anticonvulsant,0.54,1,1.12,1.12,11.50,,218.26,2,4,2,2,16,NEUTRAL,218.26,218.1055,0,0,58.20,0.71,Y,2,CHEMBL856,CCC1(c2ccccc2)C(=O)NCNC1=O,DQMZLTXERSFNPB-UHFFFAOYSA-N,DQMZLTXERSFNPB-UHFFFAOYSA-N,Safe,POSITIVE ALLOSTERIC MODULATOR+BLOCKER,True+True,True+True,True+True,CHEMBL2093872+CHEMBL2331043,missing,0
3375,CHEMBL1200376,BETAMETHASONE BENZOATE|Uticort|W 5975|W-5975,4,S02BA07 | D07AC01 | A07EA04 | S01BA06 | R03BA04 | S01CB04 | H02AB01 | S03BA03 | C05AA05 | D07XC01 | R01AD06,"S02BA - Corticosteroids | D07AC - Corticosteroids, potent (group III) | A07EA - Corticosteroids acting locally | S01BA - Corticosteroids, plain | R03BA - Glucocorticoids | S01CB - Corticosteroids/antiinfectives/mydriatics in combination | H02AB - Glucocorticoids | S03BA - Corticosteroids | C05AA - Corticosteroids | D07XC - Corticosteroids, potent, other combinations | R01AD - Corticosteroids","S02B - CORTICOSTEROIDS | D07A - CORTICOSTEROIDS, PLAIN | A07E - INTESTINAL ANTIINFLAMMATORY AGENTS | S01B - ANTIINFLAMMATORY AGENTS | R03B - OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS | S01C - ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION | H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN | S03B - CORTICOSTEROIDS | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE | D07X - CORTICOSTEROIDS, OTHER COMBINATIONS | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE","S02 - OTOLOGICALS | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS | S01 - OPHTHALMOLOGICALS | R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES | S01 - OPHTHALMOLOGICALS | H02 - CORTICOSTEROIDS FOR SYSTEMIC USE | S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS | C05 - VASOPROTECTIVES | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | R01 - NASAL PREPARATIONS","S - SENSORY ORGANS | D - DERMATOLOGICALS | A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM | D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM",7:Natural Product-derived,True,Single Stereoisomer,True,False,False,True,False,Discontinued,None,None,None,None,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,Small molecule,MOL,True,Glucocorticoid,3.76,1,4.18,4.18,13.41,,496.58,6,6,2,2,36,NEUTRAL,496.58,496.2261,0,0,100.90,0.62,N,4,CHEMBL1200376,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,SOQJPQZCPBDOMF-YCUXZELOSA-N,SOQJPQZCPBDOMF-YCUXZELOSA-N,Safe,AGONIST,True,True,True,CHEMBL2034,missing,0
3377,CHEMBL1228,Oxyphenbutazone|Tandearil,4,,,,,,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,False,False,False,Withdrawn,1984,Blood Dyscrasis; Steven Johnson Syndrome,United Kingdom; United States; Germany; France,Dermatological toxicity; Hematological toxicity,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,Small molecule,MOL,True,Antirheumatic; Anti-Inflammatory,3.49,2,1.83,3.83,4.73,,324.38,3,5,1,1,24,ACID,324.38,324.1474,0,0,60.85,0.86,N,5,CHEMBL1228,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,HFHZKZSRXITVMK-UHFFFAOYSA-N,HFHZKZSRXITVMK-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,1
3383,CHEMBL1983268,ENTRECTINIB|NMS-E628|ROZLYTREK|RXDX-101,4,L01XE56,L01XE - Protein kinase inhibitors,L01X - OTHER ANTINEOPLASTIC AGENTS,L01 - ANTINEOPLASTIC AGENTS,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1:Synthetic Small Molecule,False,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,Small molecule,MOL,True,,5.03,4,4.87,5.40,12.40,7.78,560.65,6,8,3,3,41,NEUTRAL,560.65,560.2711,2,2,85.52,0.29,N,7,CHEMBL1983268,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,HAYYBYPASCDWEQ-UHFFFAOYSA-N,HAYYBYPASCDWEQ-UHFFFAOYSA-N,Safe,INHIBITOR+INHIBITOR+INHIBITOR,True+True+True,True+True+True,True+True+True,CHEMBL3559684+CHEMBL5568+CHEMBL4247,missing,0
3389,CHEMBL3989917,07-PNET|FOSNETUPITANT,4,,,,,,1:Synthetic Small Molecule,False,Achiral Molecule,True,True,True,False,False,Prescription Only,None,None,None,None,Cc1ccccc1-c1cc(N2CC[N+](C)(COP(=O)([O-])O)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Small molecule,MOL,True,,5.74,3,2.94,0.80,0.89,5.48,688.61,6,9,1,1,47,ACID,688.61,688.2249,2,2,106.03,0.18,N,8,CHEMBL3989917,Cc1ccccc1-c1cc(N2CC[N+](C)(COP(=O)([O-])O)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,HZIYEEMJNBKMJH-UHFFFAOYSA-N,HZIYEEMJNBKMJH-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3391,CHEMBL1272,A10BX02|AG-EE 623 ZW|AG-EE-623-ZW|AG-EE-623ZW|AGEE-623ZW|ENYGLID|NOVONORM|Prandin|REPAGLINIDE,4,A10BX02,"A10BX - Other blood glucose lowering drugs, excl. insulins","A10B - BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10 - DRUGS USED IN DIABETES,A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,False,Single Stereoisomer,False,True,False,False,False,Prescription Only,None,None,None,None,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,Small molecule,MOL,True,,5.22,2,1.95,3.95,3.68,4.82,452.60,4,6,2,2,33,ACID,452.60,452.2675,1,1,78.87,0.52,N,10,CHEMBL1272,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,FAEKWTJYAYMJKF-QHCPKHFHSA-N,FAEKWTJYAYMJKF-QHCPKHFHSA-N,Safe,BLOCKER,True,True,True,CHEMBL2096972,missing,0
3395,CHEMBL524004,MEPENZOLATE,4,A03AB12,"A03AB - Synthetic anticholinergics, quaternary ammonium compounds",A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,False,False,False,Prescription Only,None,None,None,None,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,Small molecule,MOL,True,Anticholinergic,2.70,2,-0.97,-0.97,11.05,,340.44,3,4,1,1,25,NEUTRAL,340.44,340.1907,0,0,46.53,0.69,N,4,CHEMBL524004,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,GKNPSSNBBWDAGH-UHFFFAOYSA-N,GKNPSSNBBWDAGH-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3402,CHEMBL1539,Fanasil|Fanzil|J21.373J|RO 4-4393|RO-4-4393|RO-44393|SULFADOXINE|Sulforthamidine|Sulphormethoxine|WR-4073,4,,,,,,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Discontinued,None,None,None,None,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,Small molecule,MOL,True,Antibacterial,0.88,2,-0.22,0.58,6.12,3.44,310.34,7,8,2,3,21,ACID,310.34,310.0736,0,0,116.43,0.79,N,5,CHEMBL1539,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,PJSFRIWCGOHTNF-UHFFFAOYSA-N,PJSFRIWCGOHTNF-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2013,missing,0
3403,CHEMBL21731,"BA-34,276 FREE BASE|BA-34,276 [AS HYDROCHLORIDE]|BA-34276 FREE BASE|MAPROTILINE",4,N06AA21,N06AA - Non-selective monoamine reuptake inhibitors,N06A - ANTIDEPRESSANTS,N06 - PSYCHOANALEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,True,Prescription Only,None,None,None,None,CNCCCC12CCC(c3ccccc31)c1ccccc12,Small molecule,MOL,True,Antidepressant,4.21,2,1.48,4.37,,10.54,277.41,1,1,1,1,21,BASE,277.41,277.1830,0,0,12.03,0.83,N,4,CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12,QSLMDECMDJKHMQ-UHFFFAOYSA-N,QSLMDECMDJKHMQ-UHFFFAOYSA-N,toxic_psyche,missing,missing,missing,missing,missing,missing,0
3404,CHEMBL2105741,GSK-1120212B|GSK1120212B|MEKINIST|TRAMETINIB DIMETHYL SULFOXIDE,4,,,,,,7:Natural Product-derived,False,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1.C[S+](C)[O-],Small molecule,MOL,True,,,,,,,,693.54,,,,,,,693.54,693.0918,,,,,,,CHEMBL2105741,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1.C[S+](C)[O-],OQUFJVRYDFIQBW-UHFFFAOYSA-N,OQUFJVRYDFIQBW-UHFFFAOYSA-N,Safe,INHIBITOR+INHIBITOR,True+True,True+True,True+True,CHEMBL2964+CHEMBL3587,missing,0
3408,CHEMBL1643,Copegus|NSC-163039|RIBAVARIN|RIBAVIRIN|Rebetol|RibaPak|Ribasphere|Ribofluranosyl Carboxamide|SCH 18908|SCH-18908|TRIBAVIRIN|Tribavirin|VIRAZID|Viramid|Virazole,4,J05AP01,J05AP - Antivirals for treatment of HCV infections,J05A - DIRECT ACTING ANTIVIRALS,J05 - ANTIVIRALS FOR SYSTEMIC USE,J - ANTIINFECTIVES FOR SYSTEMIC USE,7:Natural Product-derived,True,Single Stereoisomer,False,True,False,True,True,Prescription Only,None,None,None,None,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,Small molecule,MOL,True,Antiviral,-3.01,1,-2.77,-2.77,11.88,,244.21,8,9,4,5,17,NEUTRAL,244.21,244.0808,0,0,143.72,0.44,N,3,CHEMBL1643,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IWUCXVSUMQZMFG-AFCXAGJDSA-N,IWUCXVSUMQZMFG-AFCXAGJDSA-N,toxic_carcinogenic+toxic_hema+toxic_respiratory+toxic_teratogen,INHIBITOR+INHIBITOR+INHIBITOR,True+True+True,True+True+True,True+True+True,CHEMBL1822+CHEMBL5375+CHEMBL2363073,missing,0
3415,CHEMBL3414621,E-7438|E7438|EPZ-6438|TAZEMETOSTAT,4,,,,,,1:Synthetic Small Molecule,False,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,Small molecule,MOL,True,,4.73,3,3.24,3.45,11.64,7.19,572.75,6,8,2,2,42,NEUTRAL,572.75,572.3363,1,1,86.90,0.39,N,9,CHEMBL3414621,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,NSQSAUGJQHDYNO-UHFFFAOYSA-N,NSQSAUGJQHDYNO-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3418,CHEMBL58,MITOXANTRONE|MITOXANTRONE HYDROCHLORIDE|NSC-279836|Novantrone,4,L01DB07,L01DB - Anthracyclines and related substances,L01D - CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01 - ANTINEOPLASTIC AGENTS,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1:Synthetic Small Molecule,False,Achiral Molecule,False,False,True,False,True,Prescription Only,None,None,None,None,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,Small molecule,MOL,True,Antineoplastic,-0.14,2,-1.09,0.75,8.21,9.22,444.49,10,10,8,8,32,BASE,444.49,444.2009,1,1,163.18,0.14,N,12,CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,KKZJGLLVHKMTCM-UHFFFAOYSA-N,KKZJGLLVHKMTCM-UHFFFAOYSA-N,toxic_cardio+toxic_hema,missing,missing,missing,missing,missing,missing,0
3420,CHEMBL1085,ACETOPHENAZINE|Acetophenazine|Tindal,4,N05AB07,N05AB - Phenothiazines with piperazine structure,N05A - ANTIPSYCHOTICS,N05 - PSYCHOLEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Discontinued,None,None,None,None,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,Small molecule,MOL,True,Antipsychotic,3.49,2,2.19,2.65,,7.67,411.57,6,5,1,1,29,NEUTRAL,411.57,411.1980,0,0,47.02,0.70,N,7,CHEMBL1085,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,WNTYBHLDCKXEOT-UHFFFAOYSA-N,WNTYBHLDCKXEOT-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3430,CHEMBL1201776,BN 200 (BASE)|BN-200|CG-5503|CG5503|CG5503 (BASE)|CG5503 IR|TAPENTADOL,4,N02AX06,N02AX - Other opioids,N02A - OPIOIDS,N02 - ANALGESICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Single Stereoisomer,False,True,False,False,True,Prescription Only,None,None,None,None,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,Small molecule,MOL,True,,3.08,1,1.07,2.96,10.28,9.60,221.34,2,2,1,1,16,BASE,221.34,221.1780,0,0,23.47,0.83,N,5,CHEMBL1201776,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,KWTWDQCKEHXFFR-SMDDNHRTSA-N,KWTWDQCKEHXFFR-SMDDNHRTSA-N,toxic_respiratory,missing,missing,missing,missing,missing,missing,0
3437,CHEMBL2107004,COLPOVIS|PENTOVIS|QUINESTRADOL,4,,,,,,7:Natural Product-derived,True,Single Stereoisomer,False,False,False,False,False,Unknown,None,None,None,None,C[C@]12CC[C@@H]3c4ccc(OC5CCCC5)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,Small molecule,MOL,True,,4.20,1,4.17,4.17,13.62,,356.51,3,3,2,2,26,NEUTRAL,356.51,356.2351,0,0,49.69,0.84,N,2,CHEMBL2107004,C[C@]12CC[C@@H]3c4ccc(OC5CCCC5)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,ODYKCPYPRCJXLY-PZORDLPLSA-N,ODYKCPYPRCJXLY-PZORDLPLSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3439,CHEMBL603,"Accolate|ICI 204,219|ICI-204219|ZAFIRLUKAST",4,R03DC01,R03DC - Leukotriene receptor antagonists,R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R - RESPIRATORY SYSTEM,1:Synthetic Small Molecule,False,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,Small molecule,MOL,True,Anti-Asthmatic (leukotriene antagonist),5.70,4,5.46,6.40,4.29,,575.69,7,9,2,2,41,ACID,575.69,575.2090,2,2,115.73,0.28,N,8,CHEMBL603,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,YEEZWCHGZNKEEK-UHFFFAOYSA-N,YEEZWCHGZNKEEK-UHFFFAOYSA-N,Safe,ANTAGONIST,True,True,True,CHEMBL1798,missing,0
3443,CHEMBL847,OXAMNIQUINE|UK-4271|Vansil,4,P02BA02,P02BA - Quinoline derivatives and related substances,P02B - ANTITREMATODALS,P02 - ANTHELMINTICS,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1:Synthetic Small Molecule,True,Racemic Mixture,False,True,False,False,False,Discontinued,None,None,None,None,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,Small molecule,MOL,True,Antischistosomal,1.81,1,-0.85,1.57,,9.89,279.34,5,6,3,3,20,BASE,279.34,279.1583,0,0,87.43,0.56,N,5,CHEMBL847,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,XCGYUJZMCCFSRP-UHFFFAOYSA-N,XCGYUJZMCCFSRP-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2366043,missing,0
3444,CHEMBL946,AZATADINE|Azatadine|Optimine|Trinalin,4,R06AX09,R06AX - Other antihistamines for systemic use,R06A - ANTIHISTAMINES FOR SYSTEMIC USE,R06 - ANTIHISTAMINES FOR SYSTEMIC USE,R - RESPIRATORY SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Discontinued,None,None,None,None,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,Small molecule,MOL,True,Antihistaminic,3.71,2,3.12,3.75,,7.91,290.41,2,2,0,0,22,NEUTRAL,290.41,290.1783,0,0,16.13,0.74,N,0,CHEMBL946,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,SEBMTIQKRHYNIT-UHFFFAOYSA-N,SEBMTIQKRHYNIT-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
3448,CHEMBL1201151,33355|EE3 ME|MESTRANOL,4,,,,,,7:Natural Product-derived,True,Single Stereoisomer,True,True,False,False,False,Prescription Only,None,None,None,None,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,Small molecule,MOL,True,Estrogen,3.92,1,4.04,4.04,,,310.44,2,2,1,1,23,NEUTRAL,310.44,310.1933,0,0,29.46,0.80,N,1,CHEMBL1201151,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,IMSSROKUHAOUJS-MJCUULBUSA-N,IMSSROKUHAOUJS-MJCUULBUSA-N,Safe,AGONIST,True,True,True,CHEMBL206,missing,0
3457,CHEMBL1200453,Abreva|BEHENYL ALCOHOL|DOCOSANOL|Docosanol|LIDAKOL|N-DOCOSANOL|NSC-8407,4,D06BB11,D06BB - Antivirals,D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE,D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D - DERMATOLOGICALS,1:Synthetic Small Molecule,False,Achiral Molecule,False,False,False,True,False,Over the Counter,None,None,None,None,CCCCCCCCCCCCCCCCCCCCCCO,Small molecule,MOL,True,,7.80,0,8.81,8.81,,,326.61,1,1,1,1,23,NEUTRAL,326.61,326.3549,1,1,20.23,0.23,N,20,CHEMBL1200453,CCCCCCCCCCCCCCCCCCCCCCO,NOPFSRXAKWQILS-UHFFFAOYSA-N,NOPFSRXAKWQILS-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2364696,missing,0
3458,CHEMBL19236,BDF-5896|BDF5896|BE-5895|BE5895|Cynt|FISIOTENS|LY-326869|LY326869|MOXONIDINE|NORMATENS|Norcynt|Nucynt|PHYSIOTENS,4,C02AC05,C02AC - Imidazoline receptor agonists,"C02A - ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02 - ANTIHYPERTENSIVES,C - CARDIOVASCULAR SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,COc1nc(C)nc(Cl)c1NC1=NCCN1,Small molecule,MOL,True,,0.82,1,1.30,1.54,,7.26,241.68,6,6,2,2,16,NEUTRAL,241.68,241.0730,0,0,71.43,0.75,N,2,CHEMBL19236,COc1nc(C)nc(Cl)c1NC1=NCCN1,WPNJAUFVNXKLIM-UHFFFAOYSA-N,WPNJAUFVNXKLIM-UHFFFAOYSA-N,Safe,AGONIST,True,True,True,CHEMBL3923,missing,0
3466,CHEMBL404849,CP-556S|MJF 12637|SULOCTIDIL,4,C04AX19,C04AX - Other peripheral vasodilators,C04A - PERIPHERAL VASODILATORS,C04 - PERIPHERAL VASODILATORS,C - CARDIOVASCULAR SYSTEM,1:Synthetic Small Molecule,False,Racemic Mixture,False,False,False,False,False,Withdrawn,1985,Hepatotoxicity,Spain; Germany; France,Hepatotoxicity,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,Small molecule,MOL,False,,5.56,1,3.31,5.61,13.87,9.76,337.57,3,2,2,2,23,BASE,337.57,337.2439,1,1,32.26,0.39,N,12,CHEMBL404849,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,BFCDFTHTSVTWOG-UHFFFAOYSA-N,BFCDFTHTSVTWOG-UHFFFAOYSA-N,Safe,BLOCKER,True,True,True,CHEMBL2363032,missing,1
3467,CHEMBL304902,CLOTHIAPINE|CLOTIAPINE|Clothiapine|HF-2159,4,N05AH06,"N05AH - Diazepines, oxazepines, thiazepines and oxepines",N05A - ANTIPSYCHOTICS,N05 - PSYCHOLEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,Small molecule,MOL,True,Antipsychotic,4.13,2,3.92,4.15,,7.23,343.88,4,3,0,0,23,NEUTRAL,343.88,343.0910,0,0,18.84,0.72,N,0,CHEMBL304902,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,KAAZGXDPUNNEFN-UHFFFAOYSA-N,KAAZGXDPUNNEFN-UHFFFAOYSA-N,Safe,ANTAGONIST+ANTAGONIST+ANTAGONIST,True+True+True,True+True+True,True+True+True,CHEMBL2095200+CHEMBL219+CHEMBL2094132,missing,0
